0,1,2,6,26,47
0,1,2,6,26,50
0,1,2,6,27,28
0,1,2,6,27,30
0,1,2,6,27,31
0,1,2,6,27,33
0,1,2,6,27,34
0,1,2,6,27,36
0,1,2,6,27,37
0,1,2,6,27,38
0,1,2,6,27,40
0,1,2,6,27,41
0,1,2,6,27,43
0,1,2,6,27,44
0,1,2,6,27,46
0,1,2,6,27,47
0,1,2,6,27,49
0,1,2,6,27,50
0,1,2,6,27,52
0,1,2,6,27,53
0,1,2,6,30,31
0,1,2,6,30,33
0,1,2,6,30,34
0,1,2,6,30,36
0,1,2,6,30,37
0,1,2,6,30,38
0,1,2,6,30,40
0,1,2,6,30,41
0,1,2,6,30,43
0,1,2,6,30,44
0,1,2,6,30,46
0,1,2,6,30,47
0,1,2,6,30,49
0,1,2,6,30,50
0,1,2,6,30,52
0,1,2,6,30,53
0,1,2,6,31,32
0,1,2,6,31,36
0,1,2,6,31,37
0,1,2,6,31,39
0,1,2,6,31,40
0,1,2,6,31,41
0,1,2,6,31,42
0,1,2,6,31,45
0,1,2,6,31,46
0,1,2,6,31,47
0,1,2,6,31,48
0,1,2,6,31,50
0,1,2,6,31,51
0,1,2,6,31,55
0,1,2,6,36,37
0,1,2,6,36,40
0,1,2,6,36,41
0,1,2,6,36,46
0,1,2,6,36,47
0,1,2,6,36,50
0,1,2,6,37,38
0,1,2,6,37,40
0,1,2,6,37,41
0,1,2,6,37,43
0,1,2,6,37,44
0,1,2,6,37,46
0,1,2,6,37,47
0,1,2,6,37,49
0,1,2,6,37,50
0,1,2,6,37,52
0,1,2,6,37,53
0,1,2,6,40,41
0,1,2,6,40,43
0,1,2,6,40,44
0,1,2,6,40,46
0,1,2,6,40,47
0,1,2,6,40,49
0,1,2,6,40,50
0,1,2,6,40,52
0,1,2,6,40,53
0,1,2,6,41,42
0,1,2,6,41,46
0,1,2,6,41,47
0,1,2,6,41,48
0,1,2,6,41,50
0,1,2,6,41,51
0,1,2,6,41,55
0,1,2,6,46,47
0,1,2,6,46,49
0,1,2,6,46,50
0,1,2,6,46,52
0,1,2,6,46,53
0,1,2,6,47,48
0,1,2,6,47,49
0,1,2,6,47,50
0,1,2,6,47,51
0,1,2,6,47,54
0,1,2,7,8,9
0,1,2,7,8,12
0,1,2,7,8,13
0,1,2,7,8,15
0,1,2,7,8,16
0,1,2,7,8,18
0,1,2,7,8,19
0,1,2,7,8,21
0,1,2,7,8,22
0,1,2,7,8,23
0,1,2,7,8,24
0,1,2,7,8,26
0,1,2,7,8,27
0,1,2,7,8,28
0,1,2,7,8,30
0,1,2,7,8,31
0,1,2,7,8,33
0,1,2,7,8,34
0,1,2,7,8,36
0,1,2,7,8,37
0,1,2,7,8,38
0,1,2,7,8,40
0,1,2,7,8,41
0,1,2,7,8,43
0,1,2,7,8,44
0,1,2,7,8,46
0,1,2,7,8,47
0,1,2,7,8,49
0,1,2,7,8,50
0,1,2,7,8,52
0,1,2,7,8,53
0,1,2,7,15,16
0,1,2,7,15,18
0,1,2,7,15,19
0,1,2,7,15,21
0,1,2,7,15,22
0,1,2,7,15,23
0,1,2,7,15,24
0,1,2,7,15,27
0,1,2,7,15,28
0,1,2,7,15,30
0,1,2,7,15,31
0,1,2,7,15,33
0,1,2,7,15,34
0,1,2,7,15,46
0,1,2,7,15,47
0,1,2,7,15,49
0,1,2,7,15,50
0,1,2,7,15,52
0,1,2,7,15,53
0,1,2,7,16,17
0,1,2,7,16,21
0,1,2,7,16,22
0,1,2,7,16,23
0,1,2,7,16,25
0,1,2,7,16,27
0,1,2,7,16,29
0,1,2,7,16,30
0,1,2,7,16,31
0,1,2,7,16,32
0,1,2,7,16,35
0,1,2,7,16,46
0,1,2,7,16,47
0,1,2,7,16,48
0,1,2,7,16,50
0,1,2,7,16,51
0,1,2,7,16,55
0,1,2,7,21,22
0,1,2,7,21,23
0,1,2,7,21,26
0,1,2,7,21,27
0,1,2,7,21,30
0,1,2,7,21,31
0,1,2,7,21,36
0,1,2,7,21,37
0,1,2,7,21,40
0,1,2,7,21,41
0,1,2,7,21,46
0,1,2,7,21,47
0,1,2,7,21,50
0,1,2,7,22,23
0,1,2,7,22,26
0,1,2,7,22,27
0,1,2,7,22,30
0,1,2,7,22,31
0,1,2,7,22,37
0,1,2,7,22,40
0,1,2,7,22,41
0,1,2,7,22,46
0,1,2,7,22,47
0,1,2,7,22,50
0,1,2,7,23,24
0,1,2,7,23,27
0,1,2,7,23,28
0,1,2,7,23,30
0,1,2,7,23,31
0,1,2,7,23,33
0,1,2,7,23,34
0,1,2,7,23,37
0,1,2,7,23,38
0,1,2,7,23,40
0,1,2,7,23,41
0,1,2,7,23,43
0,1,2,7,23,44
0,1,2,7,23,46
0,1,2,7,23,47
0,1,2,7,23,49
0,1,2,7,23,50
0,1,2,7,23,52
0,1,2,7,23,53
0,1,2,7,27,28
0,1,2,7,27,30
0,1,2,7,27,31
0,1,2,7,27,33
0,1,2,7,27,34
0,1,2,7,27,46
0,1,2,7,27,47
0,1,2,7,27,49
0,1,2,7,27,50
0,1,2,7,27,52
0,1,2,7,27,53
0,1,2,7,30,31
0,1,2,7,30,33
0,1,2,7,30,34
0,1,2,7,30,40
0,1,2,7,30,41
0,1,2,7,30,43
0,1,2,7,30,44
0,1,2,7,30,46
0,1,2,7,30,47
0,1,2,7,30,49
0,1,2,7,30,50
0,1,2,7,30,52
0,1,2,7,30,53
0,1,2,7,31,32
0,1,2,7,31,41
0,1,2,7,31,42
0,1,2,7,31,46
0,1,2,7,31,47
0,1,2,7,31,48
0,1,2,7,31,50
0,1,2,7,31,51
0,1,2,7,31,55
0,1,2,7,46,47
0,1,2,7,46,49
0,1,2,7,46,50
0,1,2,7,46,52
0,1,2,7,46,53
0,1,2,7,47,48
0,1,2,7,47,49
0,1,2,7,47,50
0,1,2,7,47,51
0,1,2,7,47,54
0,1,2,8,9,10
0,1,2,8,9,12
0,1,2,8,9,14
0,1,2,8,9,15
0,1,2,8,9,16
0,1,2,8,9,17
0,1,2,8,9,20
0,1,2,8,9,21
0,1,2,8,9,22
0,1,2,8,9,23
0,1,2,8,9,25
0,1,2,8,9,26
0,1,2,8,9,27
0,1,2,8,9,29
0,1,2,8,9,30
0,1,2,8,9,31
0,1,2,8,9,32
0,1,2,8,9,35
0,1,2,8,9,36
0,1,2,8,9,37
0,1,2,8,9,39
0,1,2,8,9,40
0,1,2,8,9,41
0,1,2,8,9,42
0,1,2,8,9,45
0,1,2,8,9,46
0,1,2,8,9,47
0,1,2,8,9,48
0,1,2,8,9,50
0,1,2,8,9,51
0,1,2,8,9,55
0,1,2,8,12,15
0,1,2,8,12,16
0,1,2,8,12,18
0,1,2,8,12,19
0,1,2,8,12,21
0,1,2,8,12,22
0,1,2,8,12,23
0,1,2,8,12,24
0,1,2,8,12,27
0,1,2,8,12,28
0,1,2,8,12,30
0,1,2,8,12,31
0,1,2,8,12,33
0,1,2,8,12,34
0,1,2,8,12,46
0,1,2,8,12,47
0,1,2,8,12,49
0,1,2,8,12,50
0,1,2,8,12,52
0,1,2,8,12,53
0,1,2,8,13,15
0,1,2,8,13,16
0,1,2,8,13,17
0,1,2,8,13,20
0,1,2,8,13,21
0,1,2,8,13,22
0,1,2,8,13,23
0,1,2,8,13,24
0,1,2,8,13,25
