1,7,16,31
1,7,16,32
1,7,16,35
1,7,16,37
1,7,16,39
1,7,16,40
1,7,16,41
1,7,16,42
1,7,16,45
1,7,16,47
1,7,16,48
1,7,16,50
1,7,16,51
1,7,23,26
1,7,23,28
1,7,23,33
1,7,23,34
1,7,23,37
1,7,23,38
1,7,23,40
1,7,23,41
1,7,23,43
1,7,23,44
1,7,23,47
1,7,23,49
1,7,23,50
1,7,23,53
1,7,26,30
1,7,26,31
1,7,26,47
1,7,26,50
1,7,27,28
1,7,27,30
1,7,27,31
1,7,27,33
1,7,27,34
1,7,27,38
1,7,27,40
1,7,27,41
1,7,27,43
1,7,27,44
1,7,27,47
1,7,27,49
1,7,27,50
1,7,27,53
1,7,30,31
1,7,30,33
1,7,30,34
1,7,30,37
1,7,30,38
1,7,30,41
1,7,30,43
1,7,30,44
1,7,30,49
1,7,30,50
1,7,30,53
1,7,31,32
1,7,31,37
1,7,31,39
1,7,31,40
1,7,31,41
1,7,31,42
1,7,31,45
1,7,31,47
1,7,31,48
1,7,31,50
1,7,31,51
1,7,37,43
1,7,37,44
1,7,37,47
1,7,37,49
1,7,37,50
1,7,37,53
1,7,40,43
1,7,40,44
1,7,40,49
1,7,40,50
1,7,40,53
1,7,41,42
1,7,41,47
1,7,41,48
1,7,41,50
1,7,41,51
1,7,47,50
1,7,47,51
1,7,47,54
1,11,15,18
1,11,15,19
1,11,15,22
1,11,15,24
1,11,15,27
1,11,15,28
1,11,15,33
1,11,15,34
1,11,15,41
1,11,15,43
1,11,15,44
1,11,15,53
1,11,16,17
1,11,16,22
1,11,16,23
1,11,16,25
1,11,16,27
1,11,16,29
1,11,16,30
1,11,16,31
1,11,16,32
1,11,16,35
1,11,16,40
1,11,16,41
1,11,16,42
1,11,16,45
1,11,16,48
1,11,16,50
1,11,16,51
1,11,22,47
1,11,22,50
1,11,23,40
1,11,23,41
1,11,23,43
1,11,23,44
1,11,23,49
1,11,23,50
1,11,23,53
1,11,27,28
1,11,27,31
1,11,27,33
1,11,27,34
1,11,27,41
1,11,27,44
1,11,27,47
1,11,27,49
1,11,27,50
1,11,27,53
1,11,30,33
1,11,30,34
1,11,30,41
1,11,30,44
1,11,30,49
1,11,30,50
1,11,30,53
1,11,31,32
1,11,31,41
1,11,31,42
1,11,31,48
1,11,31,50
1,11,31,51
1,11,41,42
1,11,41,48
1,11,41,50
1,11,41,51
1,11,47,51
1,11,47,54
1,12,13,14
1,12,13,16
1,12,13,17
1,12,13,26
1,12,13,27
1,12,13,29
1,12,13,30
1,12,13,31
1,12,13,32
1,12,13,35
1,12,13,39
1,12,13,41
1,12,13,42
1,12,13,45
1,12,13,47
1,12,13,48
1,12,13,50
1,12,13,51
1,12,19,26
1,12,19,27
1,12,19,28
1,12,19,38
1,12,19,41
1,12,26,30
1,12,26,31
1,12,26,33
1,12,26,34
1,12,26,47
1,12,26,49
1,12,26,50
1,12,26,53
1,12,27,28
1,12,27,33
1,12,27,34
1,12,27,41
1,12,27,43
1,12,27,44
1,12,27,53
1,12,28,29
1,12,28,31
1,12,28,32
1,12,28,34
1,12,28,35
1,12,28,41
1,12,28,42
1,12,28,44
1,12,28,45
1,12,28,47
1,12,28,48
1,12,28,49
1,12,28,50
1,12,28,51
1,12,28,53
1,12,28,54
1,12,33,35
1,12,33,39
1,12,33,41
1,12,33,42
1,12,33,44
1,12,33,45
1,12,34,38
1,12,34,41
1,12,34,43
1,12,34,44
1,12,38,48
1,12,38,51
1,12,41,42
1,12,41,44
1,12,41,45
1,12,41,53
1,12,41,54
1,12,43,45
1,12,43,51
1,12,44,50
1,26,30,33
1,26,30,34
1,26,30,53
1,26,31,32
1,26,31,50
1,26,31,51
1,26,47,54
1,27,28,29
1,27,28,31
1,27,28,32
1,27,28,41
1,27,28,42
1,27,28,45
1,27,28,50
1,27,28,51
1,27,34,41
1,27,41,42
1,27,41,44
1,27,41,54
1,27,43,51
1,27,44,50
1,41,42,44
7,8,9,10
7,8,9,12
7,8,9,14
7,8,9,41
7,8,9,42
7,8,12,19
7,8,12,27
7,8,12,28
7,8,12,34
7,8,13,16
7,8,13,17
7,8,13,29
7,8,13,31
7,8,13,32
7,8,13,34
7,8,13,50
7,8,19,34
7,8,19,41
7,8,19,44
7,8,44,50
7,16,32,44
