0,1,7,23,27
0,1,7,23,28
0,1,7,23,30
0,1,7,23,31
0,1,7,23,33
0,1,7,23,34
0,1,7,23,36
0,1,7,23,37
0,1,7,23,38
0,1,7,23,40
0,1,7,23,41
0,1,7,23,43
0,1,7,23,44
0,1,7,23,46
0,1,7,23,47
0,1,7,23,49
0,1,7,23,50
0,1,7,23,52
0,1,7,23,53
0,1,7,26,27
0,1,7,26,30
0,1,7,26,31
0,1,7,26,36
0,1,7,26,37
0,1,7,26,40
0,1,7,26,41
0,1,7,26,46
0,1,7,26,47
0,1,7,26,50
0,1,7,27,28
0,1,7,27,30
0,1,7,27,31
0,1,7,27,33
0,1,7,27,34
0,1,7,27,36
0,1,7,27,37
0,1,7,27,38
0,1,7,27,40
0,1,7,27,41
0,1,7,27,43
0,1,7,27,44
0,1,7,27,46
0,1,7,27,47
0,1,7,27,49
0,1,7,27,50
0,1,7,27,52
0,1,7,27,53
0,1,7,30,31
0,1,7,30,33
0,1,7,30,34
0,1,7,30,36
0,1,7,30,37
0,1,7,30,38
0,1,7,30,40
0,1,7,30,41
0,1,7,30,43
0,1,7,30,44
0,1,7,30,46
0,1,7,30,47
0,1,7,30,49
0,1,7,30,50
0,1,7,30,52
0,1,7,30,53
0,1,7,31,32
0,1,7,31,36
0,1,7,31,37
0,1,7,31,39
0,1,7,31,40
0,1,7,31,41
0,1,7,31,42
0,1,7,31,45
0,1,7,31,46
0,1,7,31,47
0,1,7,31,48
0,1,7,31,50
0,1,7,31,51
0,1,7,31,55
0,1,7,36,37
0,1,7,36,40
0,1,7,36,41
0,1,7,36,46
0,1,7,36,47
0,1,7,36,50
0,1,7,37,38
0,1,7,37,40
0,1,7,37,41
0,1,7,37,43
0,1,7,37,44
0,1,7,37,46
0,1,7,37,47
0,1,7,37,49
0,1,7,37,50
0,1,7,37,52
0,1,7,37,53
0,1,7,40,41
0,1,7,40,43
0,1,7,40,44
0,1,7,40,46
0,1,7,40,47
0,1,7,40,49
0,1,7,40,50
0,1,7,40,52
0,1,7,40,53
0,1,7,41,42
0,1,7,41,46
0,1,7,41,47
0,1,7,41,48
0,1,7,41,50
0,1,7,41,51
0,1,7,41,55
0,1,7,46,47
0,1,7,46,49
0,1,7,46,50
0,1,7,46,52
0,1,7,46,53
0,1,7,47,48
0,1,7,47,49
0,1,7,47,50
0,1,7,47,51
0,1,7,47,54
